leaf_categ_id	site_id	gpc_id
20495	15	359
28311	0	0
35600	100	2641
80743	100	916
46682	101	503032
169344	0	8526
129432	0	479
6777	15	3318
165170	100	916
20551	186	587
1107	77	317
341	15	3584
30562	77	7053
166815	0	4778
15988	0	3584
94895	2	8156
110793	0	5122
80225	77	245
20328	2	5269
179895	2	916
34001	2	503758
2267	15	245
79652	0	597
166858	0	5387
11611	0	5909
31493	186	499956
150129	2	505767
27220	3	1270
409	2	3893
180320	101	6000
40609	77	2918
62125	2	6914
64322	2	149
46755	0	784
48619	15	7438
180251	0	6000
88668	77	5499
22733	0	784
160560	2	6000
2323	3	216
51049	2	293
14026	0	3893
83909	2	505370
2432	0	3584
168998	101	7054
4596	2	3867
163257	0	182
25452	2	5863
6887	100	916
48500	2	7347
159042	0	499840
23832	0	4669
50965	0	1470
27268	0	4279
33607	2	505766
20913	101	6058
45137	0	217
158764	0	1264
74909	2	149
149960	71	385
37823	0	6997
180311	186	6000
67832	3	0
40088	2	567
11494	2	1604
16329	0	216
140087	2	5863
178991	15	2918
36065	0	3893
10834	3	5
181247	3	7100
20395	0	3911
24769	2	1078
11839	2	3208
81687	0	5269
63786	2	668
11208	2	311
32770	2	216
15036	71	2353
95163	2	499949
88665	101	503017
427	2	216
179889	100	916
13833	0	216
165144	2	5122
173624	2	217
41258	2	503758
140010	2	200
41778	0	57
363	0	216
15222	15	4557
29825	2	4203
111110	100	8260
41626	2	388
41203	2	4778
12614	0	0
11086	3	191
179776	2	499724
50773	2	216
116252	0	1623
110510	2	194
10592	0	503735
28088	2	1074
15823	0	1604
26228	2	112
123431	2	3867
1583	2	503747
110529	0	194
101984	0	7280
4709	2	502986
163587	101	5941
1294	0	990
12720	0	3584
2886	15	499784
81087	2	6000
18900	0	3553
43691	2	503747
152720	0	204
113460	0	5122
24594	2	990
120272	186	3163
3918	0	216
85966	2	218
2849	2	990
44041	0	6997
29342	2	784
14990	2	8156
116022	101	4636
110517	0	194
171228	15	784
4785	2	245
78187	2	7262
75215	0	5879
46877	0	203
2532	0	1246
67917	0	252
32828	0	252
64350	0	149
3998	2	216
7968	2	217
4086	0	2521
23819	3	499811
64039	0	1480
145904	0	6058
20339	2	7347
3193	186	521
2406	0	3584
50777	0	499969
63865	101	1594
164902	2	192
177853	101	6103
178964	15	4507
33742	0	2550
179663	3	2380
71222	2	7096
177783	15	2727
26478	3	784
68406	0	6407
110437	2	5122
152829	0	5122
463	15	3553
3977	2	216
6468	100	916
165310	0	216
147219	77	5621
67317	0	5269
3779	2	5299
65200	2	6991
3519	0	3539
615	0	784
343	101	3584
27225	3	1270
15082	0	278
45367	0	6407
107069	100	8448
41403	0	3882
146066	0	7081
2518	186	1262
66473	2	2989
106905	2	216
165131	0	200
46550	2	112
25335	2	957
164378	2	5122
83055	0	3191
3677	71	5863
34046	2	505371
18819	2	3584
179693	77	2733
25068	2	499778
32755	15	216
84001	0	503758
146357	2	6382
181164	77	3502
3978	2	216
1131	0	784
115757	0	4453
175569	71	8526
11060	77	1270
83072	0	3439
179419	71	7275
4574	0	4778
3344	71	149
151730	2	1470
25	15	3553
32731	3	216
67504	2	479
1234	3	44
33581	100	2935
4071	2	216
109434	2	4244
90634	186	1604
15274	15	4669
146293	0	6999
179391	186	5831
57784	71	5411
77659	71	5161
29241	0	784
90976	2	8526
63587	101	4491
148640	186	503032
46299	101	3530
4837	15	505382
968	15	6065
132941	2	191
100013	0	4335
20377	101	7347
126439	77	4634
64618	2	252
28172	2	6164
175644	3	5387
116639	2	16
139792	2	5831
73208	2	0
21200	77	4463
177854	71	6103
29855	0	505391
47092	186	4793
67855	3	5269
165978	186	6000
32724	2	216
108166	186	8044
19098	3	1246
6956	100	916
97	3	216
15645	2	213
10886	0	216
103965	0	216
39993	0	3676
80390	2	149
66687	77	7068
53279	2	245
127426	77	5831
25471	15	216
67510	2	479
14954	101	278
41530	101	8
49015	2	6058
4601	77	4224
170058	0	135
20809	3	503747
36402	101	479
177851	101	6103
165808	2	3865
179437	3	1470
101257	2	300
19325	15	5971
104224	0	4335
177798	186	505303
72569	2	3719
58229	0	1470
78170	2	3584
36119	15	5655
29618	15	481
15071	0	5562
31103	3	6000
58306	2	5269
146383	0	505373
105456	2	206
29938	3	245
29232	15	784
64595	2	4463
133234	2	264
152454	0	204
116023	3	3443
3498	3	5831
3212	3	505303
110434	0	194
15923	2	264
16269	2	1074
24598	2	990
15049	0	269
7389	2	6407
83919	0	505382
180294	3	6000
152334	2	203
4341	77	388
67845	0	242
159706	2	135
33692	71	505766
3405	3	217
31851	100	916
13918	2	3865
181109	71	5122
117373	0	6971
50101	15	472
47588	2	916
3039	77	182
67268	2	6508
110596	2	194
158811	0	1301
43479	15	503735
43968	2	8227
20	2	6492
43144	0	192
31109	3	6000
1625	2	1259
35165	2	7347
98735	2	5441
92866	2	5123
75564	2	16
10215	0	5122
149997	0	298
1388	15	3893
67169	0	7353
53221	2	135
60442	77	8
73512	0	5099
12603	77	5122
1042	2	5970
48460	77	245
152577	15	7313
158920	15	6337
181078	3	5122
50607	2	500112
594	101	216
79008	77	3056
1302	15	1158
24656	2	1074
33	3	216
57023	0	1795
2305	0	8
18904	2	499879
63809	2	216
110808	77	5122
75009	2	2526
164325	2	6463
50261	2	55
45118	15	216
42952	2	200
3677	101	5863
139949	0	2918
152698	2	208
181389	0	7154
39803	3	8156
159863	2	2834
19175	0	3229
67415	2	4507
101619	2	6997
33933	3	4507
104041	2	2380
48893	15	1581
165924	0	194
20827	2	245
90735	2	5620
134294	0	192
46731	0	111
156584	2	4215
35651	0	6219
20863	3	993
6810	100	916
50747	2	414
95268	0	1259
175819	2	184
165865	2	3865
177998	101	6088
25016	2	1078
67345	0	149
3668	100	4745
168180	2	5122
39481	0	217
104421	15	3599
126439	0	4634
40133	15	5122
45415	2	194
4075	0	3893
38660	77	8234
33604	100	505766
152723	2	5598
67661	3	8530
179354	2	5831
3905	15	1259
10326	15	5122
44821	0	1074
177841	0	499694
51057	0	296
33034	2	3412
698	77	5831
18797	2	8156
72602	71	499703
177830	3	3631
16145	101	7349
25379	3	135
33156	186	630
179512	71	8260
1288	71	245
179418	2	7275
158785	2	1259
11977	2	217
1276	3	5863
57080	2	500004
125033	2	2034
3281	186	242
116394	2	7144
173623	0	217
60150	2	192
14023	3	4555
56196	0	4603
41874	0	5302
112532	3	280
49229	2	1270
67471	2	7429
45151	0	217
103434	2	3553
177759	101	95
3711	0	328
74991	0	6104
45271	2	1772
29533	0	5122
64452	2	8072
2348	2	245
86912	0	6551
99299	2	6174
179830	0	6337
35255	0	264
40422	71	0
28200	0	216
152807	0	197
23791	2	503747
60379	2	212
179436	100	8260
59273	15	6337
56099	0	6932
31818	2	2984
48954	2	3584
41991	77	359
168093	186	505797
21234	3	170
77659	3	5161
101152	2	3893
149998	15	298
73931	71	3272
158954	2	999
94921	0	8156
33583	0	2805
116166	0	489
47074	15	3412
343	186	3584
110628	2	5122
14955	15	278
173598	0	217
63984	2	112
179398	101	5831
131525	3	289
29571	2	6492
37563	2	0
90713	0	311
84084	77	0
80229	0	5269
53591	0	505808
38479	0	0
37757	0	499744
16205	2	6174
71277	186	2218
11707	3	5865
148486	77	5441
38232	2	5504
168281	0	216
11869	77	2834
31708	0	499811
162116	2	499879
147699	15	6088
158783	0	1259
3728	3	4737
41012	2	3867
96910	2	300
14439	2	5302
2485	2	6058
52615	0	114
113479	2	3775
16035	101	502993
66783	2	3530
42993	2	200
24761	2	990
140944	186	191
61628	0	376
163628	101	187
50891	2	114
180917	15	4387
180059	100	916
72788	2	479
29799	3	216
84606	15	191
4023	3	3865
168091	2	7501
105446	0	206
41770	0	0
3518	2	5302
179460	77	8260
