leaf_categ_id,site_id,move_to,leaf_categ_name
101206,0,90718,"Computers & Networking:Computer Components:Interface Cards, Controllers:PCI to PCMCIA Convertor Cards"
101244,0,3680,"Computers & Networking:Keyboards, Mice & Input:Digital Pens, Writing Capture"
101247,0,14295,Computers & Networking:Desktop & Laptop Accessories:Laptop Batteries:For Acer
101248,0,14295,Computers & Networking:Desktop & Laptop Accessories:Laptop Batteries:For Advent
101250,0,14295,Computers & Networking:Desktop & Laptop Accessories:Laptop Batteries:For Clevo
101251,0,14295,Computers & Networking:Desktop & Laptop Accessories:Laptop Batteries:For Fujitsu Siemens
101252,0,14295,Computers & Networking:Desktop & Laptop Accessories:Laptop Batteries:For Gericom
101254,0,14295,Computers & Networking:Desktop & Laptop Accessories:Laptop Batteries:For Medion
101256,0,14295,Computers & Networking:Desktop & Laptop Accessories:Laptop Batteries:For Panasonic
101257,0,14295,Computers & Networking:Desktop & Laptop Accessories:Laptop Batteries:For Samsung
101262,0,31510,"Computers & Networking:Computer Accessories:Laptop Adapters & Chargers:Standard, AC"
101265,0,31510,"Computers & Networking:Desktop & Laptop Accessories:Laptop Adapters & Chargers:Standard, AC:Other"
101267,0,96913,Computers & Networking:Computer Components:PCMCIA Cards:Mixed Lots
101268,0,42323,"Computers & Networking:Computer Components:PCMCIA Cards:Serial ATA, SATA"
101269,0,101270,Computers & Networking:Networking & Communications:Modems:Cable Modem-Router Combos
101270,0,101270,Computers/Tablets & Networking:Home Networking & Connectivity:Modem-Router Combos
101281,0,44996,Computers & Networking:Networking & Communications:Wireless Networking:Parts & Accessories:Other
101282,0,101282,Computers/Tablets & Networking:Computer Cables & Connectors:Networking Cables & Adapters:Other Networking Cables
101283,0,20318,Computers & Networking:Networking & Communications:Network Interface Cards:ISA Network Cards
1012,0,1012,Pottery & Glass:Glass:Glassware:Kitchen Glassware:Other Kitchen Glassware
101351,0,11205,Computers & Networking:Scanners:Business Card Scanners
101352,0,11205,Computers & Networking:Scanners:Handheld Scanners
101353,0,11205,"Computers & Networking:Scanners:Photo, Slide & Film Scanners"
101355,0,162,Computers & Networking:Web Domains & Services:Email Addresses
101356,0,101356,"Computers/Tablets & Networking:Printers, Scanners & Supplies:Printer & Scanner Parts & Accs:Power Supplies"
101364,0,50602,Consumer Electronics:Batteries & Chargers:General-Use Batteries:Lithium
101375,0,101375,Dolls & Bears:Bears:Winnie the Pooh
101378,0,101378,Dolls & Bears:Dollhouse Miniatures:Floor Coverings
101379,0,101379,Dolls & Bears:Dollhouse Miniatures:Wallpaper
1013,0,1013,Pottery & Glass:Glass:Glassware:Kitchen Glassware:Accessories/Utensils
101405,0,101405,Home & Garden:Home Improvement:Plumbing & Fixtures:Bidets & Toilet Attachments
101406,0,101406,Health & Beauty:Health Care:Hot & Cold Therapies:Hot Water Bottles & Covers
101408,0,101408,Home & Garden:Home Décor:Clocks:Replacement Parts & Tools
101415,0,101415,Home & Garden:Home Décor:Vases
101423,0,101423,"Home & Garden:Kitchen, Dining & Bar:Flatware, Knives & Cutlery:Chopsticks"
101424,0,101424,"Home & Garden:Kitchen, Dining & Bar:Small Kitchen Appliances:Coffee & Tea Makers:Tea Makers"
101428,0,101428,"Home & Garden:Kitchen, Dining & Bar:Kitchen Storage & Organization:Lunch Containers"
101436,0,101436,Crafts:Beads & Jewelry Making:Cabochons
101437,0,101437,Jewelry & Watches:Fine Jewelry:Fine Anklets
101497,0,101497,Jewelry & Watches:Vintage & Antique Jewelry:Costume:Unknown Period:Other Undated Costume Jewelry
1014,0,1014,Pottery & Glass:Glass:Glassware:Kitchen Glassware:Butter Dishes
101554,0,101554,Musical Instruments & Gear:Brass:Alto Horns
101555,0,101555,Musical Instruments & Gear:Equipment:Music Stands
101556,0,33021,Musical Instruments:Guitar:Acoustic:Right-Handed:Crafter
101557,0,33021,Musical Instruments:Guitar:Acoustic:Right-Handed:Tanglewood
101559,0,33034,Musical Instruments:Guitar:Electric:Right-Handed:Cort
101567,0,101567,Musical Instruments & Gear:String:Folk & World:Bouzoukis/Mandolas
1015,0,1015,Pottery & Glass:Glass:Glassware:Kitchen Glassware:Cruets
101601,0,2611,"Toys & Hobbies:TV, Movie, Character Toys:Pokemon:Trading Cards:Singles:Deoxys"
101602,0,2611,"Toys & Hobbies:TV, Movie, Character Toys:Pokemon:Trading Cards:Singles:Dragon"
101603,0,2611,"Toys & Hobbies:TV, Movie, Character Toys:Pokemon:Trading Cards:Singles:Fire Red Leaf Green"
101604,0,2611,"Toys & Hobbies:TV, Movie, Character Toys:Pokemon:Trading Cards:Singles:Hidden Legends"
101605,0,2611,"Toys & Hobbies:TV, Movie, Character Toys:Pokemon:Trading Cards:Singles:Sandstorm"
101606,0,2611,"Toys & Hobbies:TV, Movie, Character Toys:Pokemon:Trading Cards:Singles:Team Aqua/Team Magma"
101607,0,2611,"Toys & Hobbies:TV, Movie, Character Toys:Pokemon:Trading Cards:Singles:Team Rocket Returns"
101608,0,75708,"Toys & Hobbies:Action Figures:TV, Movie & Video Games:Star Wars:Episodes 1-3 (1999-2005):Revenge of the Sith"
101609,0,75708,Toys & Hobbies:Action Figures:Star Wars:Prequels (1999-Now):Revenge of the Sith:Figures
10160,0,88433,Partner:Disney
101610,0,75708,"Toys & Hobbies:Action Figures:Star Wars:Prequels (1999-Now):Revenge of the Sith:Vehicles, Accessories"
101612,0,101612,"Toys & Hobbies:Electronic, Battery & Wind-Up:Electronic & Interactive:Video Now:Accessories"
101613,0,101613,"Toys & Hobbies:Electronic, Battery & Wind-Up:Electronic & Interactive:Video Now:Players"
101614,0,101613,"Toys & Hobbies:Electronic, Battery, Wind-Up:Electronic, Interactive:Video Now:Players:Black and White"
101615,0,101613,"Toys & Hobbies:Electronic, Battery, Wind-Up:Electronic, Interactive:Video Now:Players:Color"
101616,0,101613,"Toys & Hobbies:Electronic, Battery, Wind-Up:Electronic, Interactive:Video Now:Players:Junior"
